Malpasset Geometry 
Point Number X (m)     Y (m)      Z (m)
     498   6257.81   4391.39     37.67
     499   6264.12   4375.19     36.09
     500   6275.93   4362.18     35.26
     501   6289.92   4383.28     39.53
     502   6301.48   4420.20     49.24
     503   5854.19   4600.98     63.85
     504   5833.15   4622.52     60.00
     505   5879.27   4612.69     69.94
     506   5858.09   4626.37     61.38
     507   5845.81   4653.00     60.04
     508   5878.04   4642.67     67.87
     509   5876.70   4673.06     69.53
     510   5848.19   4685.06     69.26
     511   5826.34   4593.40     60.00
     512   6093.39   4300.69     30.14
     513   6105.09   4285.38     36.23
     514   6118.04   4269.73     37.00
     515   6131.72   4253.66     38.51
     516   6145.73   4236.64     39.80
     517   6160.58   4218.10     40.00
     518   6177.11   4198.09     40.50
     519   6194.80   4177.12     40.99
     520   6110.19   4250.42     38.14
     521   6102.19   4231.04     38.77
     522   6095.73   4210.16     39.85
     523   6087.94   4186.14     40.09
     524   6076.40   4159.95     45.08
     525   6065.02   4132.47     50.07
     526   6054.86   4104.55     58.63
     527   6044.71   4076.98     60.26
     528   6034.56   4049.24     69.40
     529   5786.67   4076.12     60.79
     530   5805.12   4099.06     53.81
     531   5823.46   4123.61     50.00
     532   5844.25   4146.19     50.00
     533   5864.03   4167.71     48.67
     534   5882.03   4188.69     41.95
     535   5898.59   4208.89     39.96
     536   5914.09   4228.21     39.76
     537   5928.70   4246.81     38.75
     538   5942.76   4265.02     33.79
     539   5957.03   4281.73     31.16
     540   5970.69   4296.70     30.26
     541   5982.94   4311.10     30.02
     542   6084.84   4282.93     33.29
     543   6075.88   4264.17     32.52
     544   6066.72   4244.68     36.71
     545   6057.07   4224.46     37.78
     546   6046.34   4203.50     39.65
     547   6033.99   4182.55     40.00
     548   6020.97   4166.37     40.00
     549   6016.45   4145.72     46.26
     550   6007.63   4120.49     50.12
     551   5997.49   4094.31     52.33
     552   5986.97   4067.51     60.00
     553   5976.46   4040.21     62.93
     554   5794.32   4049.99     60.37
     555   5818.41   4069.98     60.00
     556   5835.36   4096.85     57.96
     557   5854.02   4118.72     52.79
     558   5874.27   4140.45     50.31
     559   5892.52   4163.38     49.20
     560   5909.00   4185.17     41.48
     561   5924.28   4205.81     39.91
     562   5938.68   4225.44     39.36
     563   5952.47   4244.24     37.66
     564   5965.87   4262.10     32.66
     565   5978.78   4278.80     30.95
     566   5990.86   4294.47     30.20
     567   6002.01   4309.22     30.00
     568   5857.44   4028.96     85.70
     569   5868.50   4053.47     79.60
     570   5878.59   4079.07     69.98
     571   5885.93   4109.55     60.02
     572   5904.86   4137.16     55.85
     573   5920.92   4161.09     49.72
     574   5935.68   4183.19     40.19
     575   5949.60   4203.94     39.79
     576   5962.96   4223.64     38.89
     577   5975.87   4242.44     34.74
     578   5988.27   4260.37     32.28
     579   5999.98   4277.43     30.88
     580   6010.73   4293.57     30.24
     581   6020.32   4308.27     30.00
     582   5886.77   4031.84     89.82
     583   5946.60   4037.35     73.84
     584   5916.59   4034.65     80.65
     585   5897.72   4057.36     79.92
     586   5957.53   4063.98     63.21
     587   5927.60   4060.84     71.11
     588   5908.24   4084.29     69.65
     589   5968.62   4090.52     53.99
     590   5938.94   4087.44     60.78
     591   5920.65   4111.50     60.04
     592   5979.73   4116.35     50.00
     593   5951.02   4113.53     51.57
     594   5934.89   4137.03     50.94
     595   5990.36   4140.97     43.62
     596   5963.28   4138.32     48.71
     597   5948.59   4160.60     45.26
     598   5999.98   4163.48     40.00
     599   5975.09   4161.45     40.00
     600   5961.66   4182.52     40.00
     601   6010.36   4183.52     40.00
     602   5986.64   4182.83     40.00
     603   5974.34   4203.09     39.44
     604   6022.16   4202.99     39.35
     605   5998.42   4202.94     39.18
     606   5986.78   4222.69     36.84
     607   6033.60   4222.98     37.18
     608   6010.23   4222.48     36.67
     609   5998.84   4241.59     34.31
     610   6044.22   4242.75     34.89
     611   6021.57   4241.70     34.47
     612   6010.30   4259.86     32.27
     613   6054.15   4262.12     32.42
     614   6032.22   4260.54     32.29
     615   6020.94   4277.53     30.92
     616   6063.71   4281.29     30.75
     617   6042.12   4279.30     30.76
     618   6073.84   4299.40     33.77
     619   6051.44   4299.81     30.07
     620   6030.28   4294.49     30.16
     621   6036.09   4308.47     30.10
     622   5860.84   4095.65     60.24
     623   5829.38   4026.20     77.79
     624   5816.95   4044.26     64.19
     625   5840.17   4049.49     69.93
     626   5850.31   4074.08     64.76
     627   5802.44   4025.65     69.60
     628   6097.13   4266.67     35.14
     629   6088.73   4247.37     36.83
     630   6005.77   4044.15     60.23
     631   6015.92   4071.88     59.63
     632   6080.28   4227.23     38.81
     633   6026.05   4099.12     56.22
     634   6071.23   4205.65     39.82
     635   6035.68   4126.49     50.61
     636   6059.99   4182.39     40.05
     637   6044.07   4156.56     44.39
     638   5855.25   4193.71     45.28
     639   5847.37   4218.38     42.34
     640   5837.46   4242.38     40.30
     641   5825.23   4267.81     39.50
     642   5813.09   4292.17     36.40
     643   5802.23   4313.00     32.48
     644   5793.61   4332.49     30.59
     645   5889.34   4232.22     40.00
     646   5881.51   4255.02     39.95
     647   5877.76   4273.89     38.83
     648   5866.50   4289.52     37.09
     649   5858.08   4309.25     33.14
     650   5851.39   4327.48     30.33
     651   5887.87   4288.79     35.25
     652   5898.70   4304.96     30.93
     653   5908.76   4320.54     30.00
     654   5945.22   4316.89     31.44
     655   5950.82   4300.35     30.27
     656   5918.70   4304.15     30.35
     657   5935.07   4305.58     30.18
     658   5909.08   4287.27     32.58
     659   5933.25   4287.42     31.40
     660   5896.73   4270.49     37.30
     661   5904.94   4250.10     39.64
     662   5919.24   4267.85     35.39
     663   5927.36   4319.12     30.40
     664   5963.68   4313.75     31.01
     665   5878.42   4306.60     32.54
     666   5870.01   4324.71     30.38
     667   5889.38   4322.40     30.18
     668   5840.67   4292.95     36.37
     669   5872.78   4213.29     40.44
     670   5856.18   4265.63     39.83
     671   5864.10   4237.82     40.31
     672   5814.05   4330.62     30.43
     673   5833.23   4329.40     30.17
     674   5841.50   4314.23     32.04
     675   5824.13   4312.06     32.28
     676   5772.00   4334.53     33.62
     677   5779.53   4315.25     32.31
     678   5788.98   4295.38     35.39
     679   5797.30   4271.83     38.90
     680   5806.67   4241.90     40.04
     681   5825.18   4222.77     42.77
     682   5829.45   4200.33     48.55
